,PC1
1554404_a_at,0.037612039658488666
1558216_at,0.03759080402404821
1557362_at,0.03758874288353758
1559478_at,0.03758868924616168
1552338_at,0.037580667693365086
1553545_at,0.03757078675031621
1559483_at,0.03752043767748299
1552843_at,0.037515853091115235
1556288_at,0.03750926827100338
1555033_a_at,0.03748063013832507
1555602_a_at,0.037479828268631554
1554855_at,0.037477517211782566
1553009_s_at,0.03745426461034056
1552771_a_at,0.03743141723367588
1553620_at,0.03743117377620441
1553874_a_at,0.0374303437197669
1554773_at,0.037428960601984806
1555804_a_at,0.037426197769560354
1555665_at,0.03742491477228643
1553482_at,0.037418910629562485
