sample,cluster
GSM158711,3
GSM158712,3
GSM158713,3
GSM158714,0
GSM158715,3
GSM158716,3
GSM158717,0
GSM158718,3
GSM158719,3
GSM158720,0
GSM158721,0
GSM158722,3
GSM158723,0
GSM158724,3
GSM158725,0
GSM158726,3
GSM158727,3
GSM158728,3
GSM158729,0
GSM158730,3
GSM158731,0
GSM158732,3
GSM158733,3
GSM158734,3
GSM158735,0
GSM158736,0
GSM158737,0
GSM158738,3
GSM158739,0
GSM158740,3
GSM158741,3
GSM158742,0
GSM158743,3
GSM158744,3
GSM158745,3
GSM158746,3
GSM158747,3
GSM158748,3
GSM158749,3
GSM158750,3
GSM158751,0
GSM158752,3
GSM158753,3
GSM158754,3
GSM158755,3
GSM158756,0
GSM158757,3
GSM158758,3
GSM158759,3
GSM158760,0
GSM158761,3
GSM158762,0
GSM158763,3
GSM158764,0
GSM158765,3
GSM158766,3
GSM158767,3
GSM158768,3
GSM158769,3
GSM158770,3
GSM158771,0
GSM158772,3
GSM158773,3
GSM158774,0
GSM158775,0
GSM158776,3
GSM158777,0
GSM158778,0
GSM158779,0
GSM158780,3
GSM158781,3
GSM158782,3
GSM158783,0
GSM158784,3
GSM158785,0
GSM158786,0
GSM158787,0
GSM158788,3
GSM158789,3
GSM158790,3
GSM158791,0
GSM158792,0
GSM158793,0
GSM158794,3
GSM158795,3
GSM158796,3
GSM158797,3
GSM158798,0
GSM158799,0
GSM158800,0
GSM158801,3
GSM158802,3
GSM158803,0
GSM158804,3
GSM158805,3
GSM158806,3
GSM158807,0
GSM158808,0
GSM158809,0
GSM158810,3
GSM158811,3
GSM158812,3
GSM158813,3
GSM158814,3
GSM158815,3
GSM158816,3
GSM158817,3
GSM158818,0
GSM158819,3
GSM158820,0
GSM158821,0
GSM158822,3
GSM158823,0
GSM158824,3
GSM158825,0
GSM158826,0
GSM158827,3
GSM158828,0
GSM158829,3
GSM158830,0
GSM158831,3
GSM158832,0
GSM158833,3
GSM158834,0
GSM158835,3
GSM158836,3
GSM158837,0
GSM158838,3
GSM158839,0
GSM158840,0
GSM158841,3
GSM158842,3
GSM158843,0
GSM158844,3
GSM158845,3
GSM158846,3
GSM158847,0
GSM158848,3
GSM158849,3
GSM158850,3
GSM158851,3
GSM158852,0
GSM158853,3
GSM158854,3
GSM158855,3
GSM158856,3
GSM158857,0
GSM158858,3
GSM158859,3
GSM158860,3
GSM158861,3
GSM158862,3
GSM158863,3
GSM158864,3
GSM158865,0
GSM158866,0
GSM158867,3
GSM158868,3
GSM158869,0
GSM158870,3
GSM158871,3
GSM158872,3
GSM158873,3
GSM158874,3
GSM158875,3
GSM158876,3
GSM158877,0
GSM158878,3
GSM158879,3
GSM158880,3
GSM158881,3
GSM158882,3
GSM158883,0
GSM158884,0
GSM158885,3
GSM158886,3
GSM158887,3
GSM158888,0
GSM158889,3
GSM158890,3
GSM158891,3
GSM158892,3
GSM158893,0
GSM158894,3
GSM158895,0
GSM158896,0
GSM158897,3
GSM158898,0
GSM158899,3
GSM158900,0
GSM158901,3
GSM158902,3
GSM158903,3
GSM158904,0
GSM158905,0
GSM158906,3
GSM158907,3
GSM158908,3
GSM158909,3
GSM158910,3
GSM158911,0
GSM158912,3
GSM158913,3
GSM158914,0
GSM158915,3
GSM158916,3
GSM158917,0
GSM158918,0
GSM158919,0
GSM158920,3
GSM158921,3
GSM158922,3
GSM158923,0
GSM158924,3
GSM158925,3
GSM158926,3
GSM158927,3
GSM158928,0
GSM158929,3
GSM158930,3
GSM158931,0
GSM158932,0
GSM158933,3
GSM158934,3
GSM158935,3
GSM158936,3
GSM158937,0
GSM158938,3
GSM158939,0
GSM158940,3
GSM158941,3
GSM158942,0
GSM158943,3
GSM158944,0
GSM158945,0
GSM158946,0
GSM158947,3
GSM158948,3
GSM158949,3
GSM158950,3
GSM158951,3
GSM158952,0
GSM158953,3
GSM158954,0
GSM158955,3
GSM158956,3
GSM158957,3
GSM158958,3
GSM158959,0
GSM158960,3
GSM158961,3
GSM158962,3
GSM158963,0
GSM158964,3
GSM158965,3
GSM158966,3
GSM158967,3
GSM158968,3
GSM158969,0
GSM158970,3
GSM158971,3
GSM158972,3
GSM158973,3
GSM158974,0
GSM158975,3
GSM158976,0
GSM158977,3
GSM158978,3
GSM158979,0
GSM158980,0
GSM158981,3
GSM158982,3
GSM158983,3
GSM158984,3
GSM158985,3
GSM158986,0
GSM158987,0
GSM158988,3
GSM158989,0
GSM158990,3
GSM158991,3
GSM158992,0
GSM158993,0
GSM158994,3
GSM158995,3
GSM158996,3
GSM158997,3
GSM158998,3
GSM158999,0
GSM159000,3
GSM159001,0
GSM159002,3
GSM159003,3
GSM159004,0
GSM159005,3
GSM159006,0
GSM159007,0
GSM159008,0
GSM159009,0
GSM159010,3
GSM159011,0
GSM159012,0
GSM159013,3
GSM159014,3
GSM159015,3
GSM159016,0
GSM159017,0
GSM159018,0
GSM159019,3
GSM159020,3
GSM159021,0
GSM159022,0
GSM159023,0
GSM159024,3
GSM159025,0
GSM159026,0
GSM159027,3
GSM159028,0
GSM159029,0
GSM159030,0
GSM159031,0
GSM159032,3
GSM159033,0
GSM159034,3
GSM159035,0
GSM159036,0
GSM159037,3
GSM159038,3
GSM159039,3
GSM159040,3
GSM159041,3
GSM159042,3
GSM159043,3
GSM159044,3
GSM159045,3
GSM159046,3
GSM159047,0
GSM159048,3
GSM159049,3
GSM159050,3
GSM159051,3
GSM159052,3
GSM159053,3
GSM159054,0
GSM159055,3
GSM159056,3
GSM159057,3
GSM159058,3
GSM159059,0
GSM159060,3
GSM159061,0
GSM159062,3
GSM159063,3
GSM159064,0
GSM159065,3
GSM159066,3
GSM159067,3
GSM159068,3
GSM159069,3
GSM159070,3
GSM159071,3
GSM159072,3
GSM159073,3
GSM159074,3
GSM159075,3
GSM159076,0
GSM159077,3
GSM159078,0
GSM159079,3
GSM159080,0
GSM159081,3
GSM159082,3
GSM159083,3
GSM159084,0
GSM159085,3
GSM159086,3
GSM159087,0
GSM159088,0
GSM159089,0
GSM159090,3
GSM159091,3
GSM159092,3
GSM159093,3
GSM159094,3
GSM159095,3
GSM159096,0
GSM159097,3
GSM159098,0
GSM159099,3
GSM159100,3
GSM159101,3
GSM159102,3
GSM159103,3
GSM159104,0
GSM159105,3
GSM159106,3
GSM159107,0
GSM159108,3
GSM159109,3
GSM159110,3
GSM159111,3
GSM159112,3
GSM159113,3
GSM159114,0
GSM159115,0
GSM159116,3
GSM159117,0
GSM159118,3
GSM159119,0
GSM159120,0
GSM159121,3
GSM159122,0
GSM159123,0
GSM159124,0
GSM159125,0
GSM159126,3
GSM159127,3
GSM159128,0
GSM159129,3
GSM159130,3
GSM159131,0
GSM159132,3
GSM159133,3
GSM159134,3
GSM159135,3
GSM159136,3
GSM159137,3
GSM159138,0
GSM159139,3
GSM159140,0
GSM159141,3
GSM159142,3
GSM159143,3
GSM159144,3
GSM159145,3
GSM159146,0
GSM159147,3
GSM159148,3
GSM159149,0
GSM159150,0
GSM159151,0
GSM159152,3
GSM159153,0
GSM159154,3
GSM159155,3
GSM159156,3
GSM159157,3
GSM159158,3
GSM159159,3
GSM159160,3
GSM159161,3
GSM159162,3
GSM159163,3
GSM159164,3
GSM159165,3
GSM159166,0
GSM159167,3
GSM159168,3
GSM159169,3
GSM159170,0
GSM159171,0
GSM768679,2
GSM768680,2
GSM768681,2
GSM768682,2
GSM768683,2
GSM768684,2
GSM768685,2
GSM768686,1
GSM768687,1
GSM768688,2
GSM768689,1
GSM768690,2
GSM768691,2
GSM768692,2
GSM768693,1
GSM768694,1
GSM768695,1
GSM768696,1
GSM768697,1
GSM768698,1
GSM768699,1
GSM768700,1
GSM768701,2
GSM768702,1
GSM768703,1
GSM768704,1
GSM768705,1
GSM768706,2
GSM768707,1
GSM768708,2
GSM768709,2
GSM768710,2
GSM768711,1
GSM768712,1
GSM768713,1
GSM768714,2
GSM768715,1
GSM768716,1
GSM768717,1
GSM768718,1
GSM768719,1
GSM768720,1
GSM768721,1
GSM768722,1
GSM768723,1
GSM768724,2
GSM768725,1
GSM768726,1
GSM768727,2
GSM768728,2
GSM768729,2
GSM768730,1
GSM768731,1
GSM768732,2
GSM768733,2
GSM768734,2
GSM768735,2
GSM768736,2
GSM768737,2
GSM768738,2
GSM768739,2
GSM768740,1
GSM768741,1
GSM768742,2
GSM768743,2
GSM768744,2
GSM768745,2
GSM768746,2
GSM768747,1
GSM768748,2
GSM768749,1
GSM768750,2
GSM768751,1
GSM768752,1
GSM768753,1
GSM768754,1
